name,description,image,adapts_well_to_apartment_living,good_for_novice_owners,sensitivity_level,tolerates_being_alone,tolerates_cold_weather,tolerates_hot_weather,affectionate_with_family,kid_friendly,dog_friendly,friendly_toward_strangers,amount_of_shedding,drooling_potential,easy_to_groom,general_health,potential_for_weight_gain,size,easy_to_train,intelligence,potential_for_mouthiness,prey_drive,tendency_to_bark_or_howl,wanderlust_potential,energy_level,intensity,exercise_needs,potential_for_playfulness,dog_breed_group,height,weight,life_span 
bluetick coonhound,"Fast and muscular, the Bluetick Coonhounddog breed stands out for their striking coat. They have a pleasantly pleading expression and a big bawl mouth  meaning they have a long, drawn out bark. Although theyre a hunter first and foremost, the Bluetick can be a fine housedog and loves their people.Even though these are purebred dogs, you may find them in the care of shelters or rescue groups. Remember toadopt! Dont shop if you want to bring a dog home.Dogs of this breed are highly sensitive and affectionate. With proper socialization training, theyll even get along with kids in the home. However, with their high energy levels and exercise needs, they dont make for the best apartment pets. They need to stay active with lots of walks, playtime, and room to roam. Families with large homes would do well to fence in their yards, as these dogs may chase critters who wander by.",https://www.dogtime.com/assets/uploads/2011/01/file_23238_bluetick-coonhound-460x290.jpg,2,2,5,2,3,3,5,5,3,3,2,2,5,4,3,3,2,4,3,4,4,5,5,4,5,5,Hound Dogs,23 to 30 inches tall at the shoulder,45 to 100 pounds,10 to 12 years
bocker,"The Bocker is a mixed breed dog  a cross between the Cocker SpanielandBeagledog breeds. Small, affectionate, and curious by nature, these pups inherited some of the best qualities from both of their parents.The Cocker Spaniel and Beagle mixes we call Bockers also go by the names Beakers or Beagle Spaniel. Despite their unfortunate status as a designer breed, you can find these mixed breed dogs in shelters and breed-specific rescues, so remember to adopt! Dont shop!These adorable pups do well in apartments and houses with fenced yards, whether its with single seniors or households with children. Just make sure the yard is secure, as they have a tendency to track and follow scents. Their wanderlust could lead them into dangerous situations, like traffic. So be careful and take extra precautions.Bockers love endless play sessions and activity. They should not be left alone for long periods. Multiple pet families would be ideal. Isolation is their biggest enemy.",https://www.dogtime.com/assets/uploads/2019/09/bocker-mixed-dog-breed-pictures-cover.jpg,5,3,5,1,3,4,5,4,4,4,3,1,3,3,4,2,4,4,4,5,5,5,4,3,4,4,Mixed Breed Dogs,12 to 15 inches,20 to 30 pounds,12 to 15 years
boerboel,"At first glance, you might think the large, intimidating Boerboel would make an excellent guard dog, and youd be correct. However, this breed is equally known for being loving, calm, and family-friendly, especially towards human children.These gigantic protectors were bred to help farmers in South Africa defend their homesteads from hyenas, lions, and all manner of deadly wildlife while also providing invaluable companionship. The Boerboel, pronounced boo-r-bull, gets its name from Dutch/Afrikaans words that roughly translate to farmers dog. It is also known asthe South African Mastiff, South African Boerboel, Borbull, or Bole.Although Boerboels are generally docile, easy to groom, and have few health problems, dont make the mistake of thinking theyre an easy breed to handle for first time owners. These dogs are confident, territorial, and prone to pulling and chewing. They need an assertive, experienced owner with plenty of space for a massive dog that needs to exercise.If youre interested in adopting a Boerboel, then make sure you and your home are ready for the challenge. If you are, youll be rewarded with a loyal, protective friend for life.",https://www.dogtime.com/assets/uploads/2018/01/boerboel-dog-breed-pictures-cover-460x260.jpg,1,1,3,2,3,4,4,4,2,2,3,4,4,4,3,5,2,4,3,3,3,4,3,4,4,4,Working Dogs,22 to 28 inches,110 to 200 pounds,10 to 12 years
boglen terrier,"The Boglen Terrier is a mixed breed dog  a cross between the Beagle and Boston Terrier dog breeds. These dogs are known to be playful, spunky, loyal,and often times, stubborn. This lovable and perky mix has proven to become quite popular among owners from various backgrounds.Boglen Terriers are also called Boston Beagle Terrier or Boggle. However, confusion often arises since Boggle is another name for a Boxer and Beagle mix. Despite their unfortunate status as a designer breed, you may find these mixed breed dogs in shelters and rescues. So remember to adopt! Dont shop!These adorable pups prefer big families because there are more people to interact with, and they dont like being left alone for any length of time. Theyre considered a high energy pup so theyre best suited for active adults or families with plenty of people to interact and play with.They will thrive in a household with a backyard, but will also be content living in an apartment as long as the pup can burn off energy with regular walks and trips to the dog park. Make sure you have a secure yard, as theyre prone to tracking and wandering off.",https://www.dogtime.com/assets/uploads/2019/09/boglen-terrier-mixed-dog-breed-pictures-cover.jpg,4,4,4,2,2,3,5,5,5,5,2,1,4,3,3,2,2,2,4,4,4,5,4,5,4,5,Mixed Breed Dogs,12 to 17 inches,10 to 40 pounds,10 to 15 years
bohemian shepherd,"The Bohemian Shepherd dog breed originated in the Czech Republic around the 1300s in the Chodsko region, hence why these dogs were commonly called the Chodsk pes. They were first used as guard dogs and as herding dogs. Today, they make great family pets who will protect and watch over their humans.Other names this dog goes by include Bohemian Herder, Czech Sheepdog, and Chodenhund. Although these are purebred dogs, you may still find them in shelters and rescues. Remember to adopt! Dont shop if this is the breed for you.The Bohemian Shepherd is an intelligent breed, always up for trying new activities and very aware of their humans needs. This sociable dog thrives in households with children and families, and they require daily physical and mental stimulation with toys and games to stay happy. While they may not be the best choice for first-time dog owners, these pups learn very quickly with patience and consistency and make great companions for those willing to put in the time.DogTime recommends this dog bed to give a good nights sleep to your medium-sized Bohemian Shepherd.You should also pick up this dog fetch toy to help burn off your pups high energy!",https://www.dogtime.com/assets/uploads/2020/04/Bohemian-Shepherd-dog-breed-pictures-cover.jpg,2,3,4,2,4,3,4,4,4,3,4,1,4,4,3,3,4,5,2,2,2,3,4,3,4,5,Herding Dogs,19 to 22 inches,35 to 60 pounds,10 to 15 years
bolognese,"A true companion dog, the Bolognese dog breed loves to be at their familys side. However, they also loves getting their way and can be quite crafty about it, so be careful  you could find yourself being manipulated by a ten-pound furball.Even though these are purebred dogs, you may find them in the care of shelters or rescue groups. Remember toadopt! Dont shop if you want to bring a dog home.Sensitive and loving, Bologness are true companion dogs. They pack a lot of personality in a tiny body, and theyll readily take to apartment life. These pups dont much care for being left alone for long hours of the day. Instead, theyll prefer to join you wherever you go. But even though these pups adore their humans, they also have a stubborn side when it comes to training. Teach these dogs with plenty of positive reinforcement and avoid harsh rebukes. If you do, youll have a loving, well behaved family member who wont leave your side.",https://www.dogtime.com/assets/uploads/2011/01/file_23240_bolognese-460x290.jpg,5,3,5,2,2,3,5,5,5,5,1,1,1,5,3,1,5,4,4,5,4,1,3,3,4,3,Companion Dogs,9 to 12 inches tall at the shoulder,8 to 14 pounds,12 to 14 years
borador,"The Borador is a mixed breed dog  a cross between the Border Collie and Labrador Retriever dog breeds. Outgoing, curious, and energetic, these pups inherited some of the best qualities from both of their parents.Boradors go by several names, including Border Collie Lab and Border Lab. Despite their unfortunate status as a designer breed, you can find these mixed-breed dogs in shelters and breed-specific rescues, so remember to adopt! Dont shop!These cute and energetic pups make excellent companions for active owners, and they can thrive in any space. Still, these medium- to large-sized dogs can grow bored easily and need space, so they tend to do best in homes with yards and lots of activity. If you want a loyal, affectionate, mid-sized dog who thinks theyre a lap dog, the Borador might be the right pup for you",https://www.dogtime.com/assets/uploads/2019/09/borador-mixed-dog-breed-pictures-cover.jpg,3,3,2,2,3,3,5,4,4,4,4,3,3,3,4,4,4,5,3,3,2,3,4,3,4,5,Hybrid Dogs,19 to 24 inches,40 to 65 pounds,10 to 15 years
border collie,"The Border Collie dog breed was developed to gather and control sheep in the hilly border country between Scotland and England. Theyre known for their intense stare, or eye, with which they control their flock. Theyre dogs with unlimited energy, stamina, and working drive, all of which make them a premier herding dog; Border Collies are still used today to herd sheep on farms and ranches around the world.Even though these are purebred dogs, you may find them in the care of shelters or rescue groups. Remember toadopt! Dont shop if you want to bring a dog home.The highly trainable and intelligent, Border Collies also excel in various canine sports, including obedience, flyball, agility, tracking, and flying disc competitions. They can make for great family companions, so long as they get a lot  a lot!  of physical and mental exercise. Youll also have to be comfortable with a dog who can outsmart you from time to time. If you want a loving, brainy dog who will keep you active and on your toes, this may be the breed for you!",https://www.dogtime.com/assets/uploads/2011/01/file_23178_border-collie-460x290.jpg,2,2,5,1,4,4,5,4,3,5,3,1,3,2,3,3,5,5,3,3,2,3,5,3,5,5,Herding Dogs,18 to 22 inches tall at the shoulder,30 to 45 pounds,12 to 15 years
border sheepdog,"The Border Sheepdog is a mixed breed dog  a cross between the Border Collie and Shetland Sheepdog breeds. Energetic, intelligent, and playful, these pups inherited some of the best traits from both of their parents.Border Sheepdogs go by a few names, including Sheltie Border and Border Sheltie. If you like to bring this beautiful mixed breed home, you might be able to find them at shelters or breed specific rescues. Remember, its always better to adopt and not shop!These adorable pooches are best suited for homes with yards, as they have a lot of energy. They also fit in with families of all sizes. These pups have a tendency to be yappy. If you want an energetic firecracker dog who will keep you on your toes, alert you to any potential dangers, and love you unconditionally, the Border Sheepdog may be the right pooch for you!",https://www.dogtime.com/assets/uploads/2019/11/border-sheepdog-mixed-dog-breed-pictures-cover.jpg,2,3,2,2,4,2,5,4,3,3,3,1,3,4,2,3,4,5,4,3,4,2,5,3,5,4,Mixed Breed Dogs,16 to 22 inches,25 to 45 pounds,12 to 15 years
border terrier,"The alert, good-natured Border Terrier was originally bred to assist in foxhunts by driving foxes out of their hiding places and out into the open for the hounds to chase. Nowadays, they make great family members who adore their humans.Even though these are purebred dogs, some may still end up in the care of shelters or rescues. Consider adoption if this is the breed for you.Border Terriers still have a powerful drive to hunt and dig, as well as the energy level that enabled them to keep up with hunters on horseback. These traits can make them an aggravating pet for some humans; for others, Border Terriers are wonderful companions who play hard and love harder. They can adapt to apartment life, so long as they get plenty of exercise. Give this pup plenty of physical activity, and youll have a loyal and affectionate best buddy for life.DogTime recommends this carrier for traveling with your smallBorder Terrier.You should also pick up this dog fetch toy to help burn off your pups high energy!",https://www.dogtime.com/assets/uploads/2011/01/file_23058_border-terrier-460x290.jpg,4,3,3,1,4,3,5,4,2,5,3,1,2,4,5,2,3,5,5,5,1,4,4,4,5,5,Terrier Dogs,10 to 11 inches tall at the shoulder,11 to 15 pounds,12 to 15 years
bordoodle,"The Bordoodle is a mixed breed dog  a cross between the Border Collie and Poodle dog breeds. Friendly, playful, and intelligent, these pups inherited some of the best qualities from both of their parents.Bordoodles are also sometimes known as Borpoos and Borderpoos. You can find these mixed breed dogs in shelters and breed specific rescues, so remember to always adopt! Dont shop if youre looking to add a Bordoodle to your home!Bordoodles makes for excellent family dogs. Theyre friendly, love companionship, and will even become protective towards your family. The mixed breed is relatively low maintenance and is tolerant of most people, from very young to very old.Just be warned. Due to the Bordoodles intelligence, they can start to show stubborn traits if they dont get proper socialization and training from a young age. Destructive behavior could even become an issue. But if you make sure you train your pooch well, youll have the ultimately family dog!",https://www.dogtime.com/assets/uploads/2019/09/bordoodle-mixed-dog-breed-pictures-cover.jpg,4,4,3,3,4,4,4,5,3,2,2,2,4,4,3,3,4,5,3,2,2,3,3,2,3,4,Mixed Breed Dogs,12 to 22 inches,30 to 60 pounds,12 to 15 years
borzoi,"The Borzoi dog breed was developed in Russia as a coursing and hunting dog. These houndshunted in teams of three to go after rabbit, foxes, and wolves. They later became popular as a companion for royalty across continental Europe.Although these are purebred dogs, you may find them in the care of shelters or rescue groups. Consider adoption if this is the breed for you.Borzois are laid-back family dogs who can even adapt to apartment living, despite their large size. They do not, however, fair well when left alone for long periods of time during the day. This sensitive breed needs companionship. Their beautiful coat also sheds a lot and requires some maintenance on your part. Youll get a great couch potato buddy with a Borzoi, but youll still have to put in some effort to meet the breeds needs.DogTime recommends this big, spacious crate to give your big Borzoi a place to rest and relax.You should also pick up this dog de-shedder for your high shedding pup!",https://www.dogtime.com/assets/uploads/2011/01/file_23018_borzoi-460x290.jpg,5,3,5,1,4,3,4,3,4,4,5,1,4,4,2,5,3,4,3,5,2,4,2,2,2,3,Hound Dogs,26 to 32 inches tall at the shoulder,55 to 105 pounds,10 to 12 years
boshih,"The BoShih is a mixed breed dog  a cross between theShih Tzuand Boston Terrier breeds. Small, inquisitive and affectionate, these pups inherited some of the best qualities from both of their parents.BoShihs, or Bo Shihs, are also called Boston Shih Tzus.Despite their unfortunate status as a designer breed, you can find these mixed pups in shelters and breed specific rescues, so adopt! Dont shop!BoShihs make great companion animals for just about anyone, but a retired senior would most likely be an ideal match. These dogs love humans who pamper and dote on them. Theyre pretty versatile and can thrive in almost any environment  family home, apartment, or small country house as long as they have people around. They can get separation anxiety if they are left alone for long periods of time. Theyre your companion as much as youre their companion.Single person or big family, just make sure your BoShih gets lots of love and attention. Theyll require regular vet check ups, dental cleanings, and grooming sessions. Frequent potty breaks also help with their small bladders.",https://www.dogtime.com/assets/uploads/2019/12/boshih-mixed-dog-breed-pictures-cover.jpg,5,4,3,1,2,2,4,2,3,4,2,1,5,3,3,2,2,3,1,1,2,2,3,2,3,5,Mixed Breed Dogs,12 to 15 inches,10 to 20 pounds,12 to 15 years
bossie,"The Bossie is a mixed breed dog  a cross between the Boston Terrier and Australian Shepherddog breeds. Medium in size, energetic, and loyal, these pups inherited some of the best qualities from both of their parents.The Bossie, also spelled Baussie, is an ideal pup. Despite their unfortunate status as a designer breed, you can find these mixed-breed dogs in shelters and breed specific rescues, so remember to adopt! Dont shop!These adorable pups make great additions to a large family or a single-person household. Just make sure they get plenty of attention and exercise. They should not be left alone in a yardbecause they may feel abandoned and become board and destructive. Read on to find out if this is the right dog for you!",https://www.dogtime.com/assets/uploads/2019/11/bossie-mixed-dog-breed-pictures-cover.jpg,2,2,3,5,3,3,4,4,4,4,2,1,3,3,3,3,4,4,3,3,3,5,4,4,5,5,Mixed Breed Dogs,15 to 23 inches,25 to 40 pounds,12 to 15 years
boston boxer,"The Boston Boxer is a mixed breed doga cross between the Boston Terrier and Boxer dog breeds. Friendly, intelligent, and playful, these pups inherited some of the best traits from both of their parents.The Boston Boxer is also known as the Miniature Boxer or Mini Boxer. Despite their unfortunate status as a designer breed, you can find these mixed-breed dogs in shelters and breed specific rescues, so remember to adopt! Dont shop!Since Boston Boxers tend to be smaller than standard Boxers, this mixed breed tends to flourish in any setting, from urban apartments to suburban family homes with yards. Still, these dogs have a good amount of energy and need humans who are ready to keep up with their active pace. If youre looking for a playful dog who loves to stick by your sidesometimes literallythen this just might be the right dog for you!See below for all Boston Boxer facts and mixed dog breed characteristics!",https://www.dogtime.com/assets/uploads/2020/01/boston-boxer-mixed-dog-breed-pictures-cover.jpg,4,3,3,2,3,3,4,4,4,2,3,3,4,4,4,3,3,4,3,3,3,2,4,3,4,5,Mixed Breed Dogs,15 to 23 inches,22 to 55 pounds,12 to 15 years
boston terrier,"The Boston Terrier has been popular since their creation a little more than a century ago. They were originally bred to be fighting dogs, but today, theyre gentle, affectionate companions with tuxedo-like markings that earned them the nickname American Gentleman.Even though these are purebred dogs, you may find them in the care of shelters or rescue groups. Remember toadopt! Dont shop if you want to bring a dog home.Boston Terriers are highly affectionate dogs who get along with all members of the family in just about any type of home, even apartments. However, these playful pups also need plenty of exercise. If you can give your dog lots of love and physical activity, youll have an adoring and loyal best buddy.",https://www.dogtime.com/assets/uploads/2011/01/file_23138_boston-terrier-460x290.jpg,5,4,5,3,3,2,4,5,5,4,2,1,5,4,3,2,4,4,2,2,3,5,4,5,4,5,Companion Dogs,12 to 15 inches tall at the shoulder,10 to 25 pounds,13 to 15 years
boston terrier pekingese mix,"The Boston Terrier Pekingese Mix is a mixed breed dog  a cross between the Boston Terrier and Pekingese dog breeds. Compact, smart, and loyal, these pups inherited some of the best qualities from both of their parents.Boston Terrier Pekingese Mixes go by several names, including Bostinese andBoston Peke. Despite their unfortunate status as a designer breed, you may find these mixed breed dogs in shelters and rescues, so remember to adopt! Dont shop!These adorable pups make great apartment dogs for active urban dwellers, and they can even make great family pets in larger homes when trained consistently. If youre looking for a spunky dog who will keep you on your toes, let you know of potential dangers  or visitors  and love you lots, this might be the perfect mixed breed dog for you.DogTime recommends this carrier for traveling with your small Bostinese.You should also pick up this dog de-shedder for your high shedding pup!",https://www.dogtime.com/assets/uploads/2020/05/Boston-Terrier-Pekingese-Mixed-dog-breed-pictures-cover.jpg,4,3,3,2,2,2,4,4,3,3,2,2,4,4,4,1,2,4,3,2,4,2,3,3,3,4,Mixed Breed Dogs,10 to 15 inches,10 to 25 pounds,10 to 15 years
bouvier des flandres,"The Bouvier des Flandres was originally bred to be a versatile farm dog. They helped farmers in a multitude of tasks, including herding livestock (particularly cattle), pulling carts, and guarding. The hard-working and intelligent Bouvier is still an ideal farm dog, as well as a capable service, assistance, law enforcement, and guard dog.Even though these are purebred dogs, you may find them in the care of shelters or rescue groups. Remember toadopt! Dont shop if you want to bring a dog home.While you can also find Bouviers competing in obedience, agility, and herding trials, serving as family companion is the role that seems to suit them best. Theyre highly affectionate and playful with all the humans in their pack. That said, make sure youre comfortable with a bit of messiness if youre considering adoption. These pups arent afraid to roll in the dirt and mud, and their coats tend to drag debris indoors. Their coats also require a bit of maintenance. If you can tolerate a bit of cleanup, youll be rewarded with an intelligent and adoring furry family member.",https://www.dogtime.com/assets/uploads/2011/01/file_23180_bouvier-des-flandres-460x290.jpg,3,2,4,2,4,2,5,5,2,2,1,1,2,3,4,4,5,4,2,2,4,2,4,5,4,4,Herding Dogs,23 to 26 inches tall at the shoulder,70 to 100 pounds,10 to 12 years
boxador,"The Boxador is a mixed breed of doga cross between theBoxer andLabrador Retriever dog breeds. Medium to large in size, intelligent, and totally devoted to their families, these pups inherited some of the best qualities from both of their parents.Boxadors are also known asLaboxers, Boxerlabs, and Boxerdors. Despite their unfortunate status as a designer breed, you can find these mixed breed dogs in shelters and breed specific rescues, so remember to adopt! Dont shop!Boxadors are not a great choice for novice pet owners, but if youre looking for a social, furry family companion, please step right up! Big homes with yards are ideal but not required, as long as these dogs get exercise and plenty of love and attention. Boxadors are protective of their loved ones and friendly with people, children, and other dogs. Dont leave them alone for long periods, though, or else they may become bored and destructive.DogTime recommends this big, spacious crate to give your big Boxador a place to rest and relax. You should also pick up this dog brush and massager for your short-haired pup!",https://www.dogtime.com/assets/uploads/2019/08/boxador-mixed-dog-breed-pictures-cover.jpg,2,2,3,1,2,2,5,4,4,4,4,2,5,2,4,4,5,5,3,2,3,3,5,5,5,5,Mixed Breed Dogs,23 to 25 inches,50 to 110 pounds,12 to 15 years
boxer,"Boxer dogs were originally bred to be medium-size guard dogs.Today, although they are a part of the AKCs Working Group, Boxers mostly find homes as loving family companions. That said, they still retain their high energy levels and need plenty of exercise.Square-jawed and muscular, this breed is the George Clooney of the dog worlda looker with a sense of humor and an underlying sweetness. They adore their families and will also appreciate consistent training that doesnt rely on harsh reprimands.If youre looking for a high-energy, easy-to-groom, family-friendly pooch, then this just may be the breed for you!DogTime recommends this dog bed to give a good nights sleep to your medium-sized Boxer.You should also pick up this dog fetch toy to help burn off your pups high energy!",https://www.dogtime.com/assets/uploads/2011/01/file_22916_boxer-460x290.jpg,4,3,4,1,2,1,5,4,3,4,4,2,5,2,4,3,4,4,2,3,3,3,5,5,5,5,Working Dogs,21 to 25 inches at the shoulder,60 to 70 pounds,10 to 12 years
boxerdoodle,"The Boxerdoodle is a mixed breed dog  a cross between the Boxer and Poodle dog breeds. Friendly, smart, and playful, these pups inherited some of the best qualities from both of their parents.Boxerdoodles are also sometimes known as Boxerpoos. You may find these mixed breed dogs in shelters and breed specific rescues, so remember to always adopt! Dont shop if youre looking to add one of these dogs to your home!The Boxerdoodle makes for an exceptionally playful and super friendly dog who can become a great addition to a family. They are active dogs who arent well suited to apartment living because of their innate need for exercise and play. If you have a fenced-in yard, your kids and the dog will become best play buddies; although, its always important to supervise sessions involving small children.As a heads up, due to the range of size between different types of Poodle, your Boxerdoodle could end up being anywhere from small to large in size.",https://www.dogtime.com/assets/uploads/2019/09/boxerdoodle-mixed-dog-breed-pictures-cover.jpg,1,3,3,2,3,3,4,3,4,3,2,2,3,3,4,3,4,4,2,3,2,4,4,4,4,5,Mixed Breed Dogs,10 to 25 inches,12 to 70 pounds,10 to 12 years
boxmatian,"The Boxmatian is a mixed breed dog  a cross between the Boxer and Dalmatian dog breeds. Playful, goofy, and protective, these pups inherited some of the best qualities from both of their parents.You can find these mixed breed dogs in shelters and breed specific rescues, so remember to always adopt! Dont shop if youre looking to add a Boxmatian to your home!The Boxmatian is a bit like a cartoon dog come to life! They have a larger-than-life personality and love to play and goof around. If you have one of these dogs in your home, youll be laughing a lot. Properly trained, the mixed breed is affectionate and loyal to their humans and will take on a guardian role.But be warned! Correct training from the outset is essential to offset any aggressive tendencies and destructive behavior. For these reasons, this may not be the best dog to bring into a family with small children. Boxmatians also require a lot of exercise and are not apartment dogs on any level.See below for all mixed dog breed traits and facts about Boxmatians!",https://www.dogtime.com/assets/uploads/2019/09/boxmatian-mixed-dog-breed-pictures-cover.jpg,1,2,3,2,2,4,4,3,2,1,3,2,3,5,4,5,3,4,4,3,3,4,5,4,5,4,Mixed Breed Dogs,19 to 25 inches,50 to 90 pounds,10 to 13 years
boxweiler,"The Boxweiler is a mixed breed doga cross between the Boxer and Rottweiler dog breeds. Loving, loyal, and bright, these pups inherited some of the best qualities from both of their parents.Boxweilers goes by several other names, including Box Rotty, Boxer Rottie, and Boxie Rottie. Despite their unfortunate status as a designer breed, you can find these mixed breed dogs in shelters and breed specific rescues, so remember to adopt! Dont shop!These beautiful pups have a lot of energy and can get bored quite easily. Its best if theyre in a larger home with a yard, rather than an apartment. Theyre very loyal dogs who get along well with any family size. They also make excellent guard dogs without being overly aggressive. If you want an energetic dog who will keep you on your toes, alert you to any potential dangers, and love you unconditionally, then the Boxweiler may be perfect for you!",https://www.dogtime.com/assets/uploads/2019/12/boxweiler-mixed-dog-breed-pictures-cover.jpg,2,3,4,2,3,2,5,4,4,2,3,2,3,3,4,4,4,4,2,2,3,1,4,3,4,4,Mixed Breed Dogs,21 to 27 inches,70 to 100 pounds,8 to 13 years
boykin spaniel,"Dogs of the Boykin Spaniel breed are known for their hunting skills, but they make just as good companions to families as to hunters, thanks to their smarts and their friendly confidence. The family should be an active one, however; this dog needs lots of exercise.Even though these are purebred dogs, you may find them in the care of shelters or rescue groups. Remember toadopt! Dont shop if you want to bring a dog home.These smart pups adore the human members of their families, including kids. They can even get along well with other dogs in the home with proper socialization. However, their high energy may make them a poor choice for apartment dwellers. Intelligent and playful, these dogs need plenty of physical and mental stimulation to stay happy. If you can keep up with an active pup, this may be the breed for you!",https://www.dogtime.com/assets/uploads/2011/01/file_23242_boykin-spaniel-460x290.jpg,1,3,4,3,3,4,5,5,4,3,4,1,1,2,4,3,4,4,4,2,3,4,5,5,5,4,Sporting Dogs,14 to 18 inches tall at the shoulder,25 to 40 pounds,10 to 12 years
bracco italiano,"In their native Italy, the Bracco Italiano is known as a hunting dog breed, but theyre also gaining notice as a sweet and affectionate family companion. With their long ears, droopy lips, and soulful expression, the Bracco Italiano has a distinctive look. Theyre believed to be an ancient breed, dating back to the fourth or fifth century B.C.The Bracco Italiano goes by a number of other names, including Italian Pointer, The Italian Pointing Dog, and Bracco. If this dog breed interests you, then you may find these adorable pups in shelters or breed specific rescues. Remember, its always better to adopt and not shop!These smart dogs have endless amounts of energy and do best in homes with yards. The Bracco is also well suited for all households, from single individuals to large families with children. Though they are not watchdog material, they will let you know if they sense a change in their environment. If you want an energetic dog who will keep you on your toes and love you unconditionally, the Bracco Italiano may be the right dog for you!",https://www.dogtime.com/assets/uploads/2019/11/Bracco-Italiano-dog-breed-pictures-cover.jpg,1,2,4,3,3,3,5,4,5,3,3,2,5,2,3,4,3,4,2,5,2,3,4,4,5,4,Sporting Dogs,22 to 26 inches,55 to 90 pounds,10 to 14 years
braque du bourbonnais,"The Braque du Bourbonnais is an ancient purebred pointing dog originally from the country of France. Affectionate, calm, and intelligent, these pups have some of the best qualities of any dog breed out there today.This breed goes by several other names, including Bourbonnais Pointer, Bourbonnais Pointing Dog, French Pointing Dog, French Pointer, Braques Francaises, and Braque Bourbonnais. Despite being a rare breed, you may still sometimes find these adorable pups in your local shelters and rescues, so remember to adopt! Dont shop!These affectionate pups are best suited for homes with yards and would not be recommended for apartment life. They are people-oriented and need to be around their humans, which makes them well suited for families or large households with more than one person at home. If you want a gentle and energetic pup, then the Braque du Bourbonnais may be the right dog for you!",https://www.dogtime.com/assets/uploads/2019/09/Braque-du-Bourbonnais-dog-breed-pictures-cover.jpg,1,3,3,2,2,3,5,4,4,4,2,1,4,4,1,3,4,4,3,4,3,2,5,2,5,3,Working Dogs,18 to 23 inches.,35 to 55 pounds.,12 to 15 years.
briard,"Underneath the Briards long, shaggy coat lies a bold spirit and keen intelligence. True to their French roots, they can be aloof with strangers, but are affectionate and loving toward members of their pack.Even though these are purebred dogs, you may find them in the care of shelters or rescue groups. Remember toadopt! Dont shop if you want to bring a dog home.Bred as herding and guard dogs to protect flocks and fight off predators, these canines were adopted as working dogs during World War I and used by troops as sentries, ammunition carriers, messengers, and medic dogs. Today, the Briard enjoys the life of a companion dog, but they show their versatility and working nature with their great successes in obedience, agility, conformation, herding, carting, and tracking competitions.",https://www.dogtime.com/assets/uploads/2011/01/file_23182_briard-460x290.jpg,3,3,4,3,4,3,4,5,5,2,1,1,1,3,3,4,4,4,2,3,4,5,4,4,4,4,Herding Dogs,22 to 27 inches tall at the shoulder,70 to 100 pounds,10 to 12 years
brittany,"Brittanys were bred as gundogs, and they definitely have birds on the brain. Although theyre often called Brittany Spaniels, the American Kennel Club dropped the word spaniel from this pointing breeds name in 1982.These energetic dogs are versatile family companions and hunting dogs who work more closely to hunters than other pointing breeds. If you can satisfy their high energy and exercise needs, this may be the breed for you!DogTime recommends this dog bed to give a good nights sleep to your medium-sized Brittany.You should also pick up this dog water bottle for any outdoor adventures you have with your pup!",https://www.dogtime.com/assets/uploads/2011/01/file_22956_brittany-460x290.jpg,1,3,5,1,4,3,5,5,5,4,3,5,3,4,3,3,3,5,3,5,3,4,5,3,5,5,Sporting Dogs,"1 foot, 5 inches to 1 foot, 8 inches tall at the shoulder",30 to 40 pounds,10 to 13 years
broholmer,"The Broholmer is a large purebred dog from Denmark in northern Europe. Calm, protective, and friendly, this pup has some of the best qualities of any dog breed around!Broholmers go by a couple of other names, such as the Danish Mastiff or the Danish Broholmer. You may be able find these dogs at your local shelter or rescues. Please remember to adopt! Dont shop!These protective pooches can do fine in apartments but, because of their large size, are better suited for townhomes or something larger, preferably with a yard. Theyre pack dogs and like to be around people, so larger households or families with children are perfect for them. If you want a protective, calm, large pooch who will love you unconditionally, then this may be the right dog for you!",https://www.dogtime.com/assets/uploads/2019/09/Broholmer-dog-breed-pictures-cover.jpg,2,4,3,3,3,3,5,4,3,3,3,2,4,4,3,5,4,4,3,2,3,2,3,3,3,3,Companion Dogs,22 to 30 inches.,90 to 150 pounds.,8 to 12 years.
brussels griffon,"Originally bred to hunt and kill rats, this former Belgian street dog is a distinctive and unusual dog breed. Although the Brussels Griffon is small, theyre hardly a pampered pooch. Affectionate and lively, their intelligence, sense of humor, and air of self-importance keep them one step ahead of their people, who adore their pups anyway.Although these are purebred dogs, you may still find them in shelters and rescues. Remember to adopt! Dont shop if you want to bring a dog home.Griffons adapt well to apartment life, but the neighbors might not appreciate this tiny watchdogs tendency to sound off at any sign of what they believe to be trouble. These dogs also have quite a bit of energy for their size and need lots of exercise and playtime. Novice pet parents who expect a docile lapdog might find that this pup doesnt sit still as long as they were hoping. But humans who can meet the breeds needs and keep up with training will be rewarded with a loving, loyal family member.",https://www.dogtime.com/assets/uploads/2011/01/file_23098_brussels-griffon-460x290.jpg,5,2,5,1,1,2,5,4,4,3,3,3,3,3,3,1,3,4,3,1,4,5,5,3,4,5,Companion Dogs,7 to 8 inches tall at the shoulder,7 to 12 pounds,12 to 15 years
